"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505204.648035941,49.5673635397354,505039.654973865,505171.075197214,505207.26907506,505236.658382835,505356.607927776
"Num Offtake","Neonatal Female",35694.9860280297,6.76041232228102,35672.5670647713,35690.4359769731,35695.3226589558,35699.3491048983,35715.7313578924
"Num Offtake","Neonatal Male",109999.709940351,37.2549269735406,109877.048282562,109974.480715898,110001.631705415,110024.528395391,110116.120773546
"Num Offtake","Neonatal Combined",145694.69596838,44.0089725214045,145549.615347333,145664.904739582,145697.039701381,145723.720534954,145831.852131439
"Num Offtake","Juvenile Female",113999.741319555,4.98340293893885,113982.989862984,113996.380184959,113999.925274401,114003.104493456,114013.273347801
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.741319555,4.98340293893885,113982.989862984,113996.380184959,113999.925274401,114003.104493456,114013.273347801
"Num Offtake","Adult Female",237036.688279966,0.616307193903942,237034.60427236,237036.281801698,237036.702136395,237037.099697697,237038.297131821
"Num Offtake","Adult Male",8473.52246803957,0.35363123222084,8472.3266088569,8473.28889446747,8473.53040313136,8473.75849021129,8474.44619873803
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72947.3562599866,266.776438496088,72039.4706445527,72762.3785704077,72953.8583067673,73126.9996839197,73761.0458286125
"Cml Pop Growth","Neonatal Female",-14663.2468279179,99.4023227290224,-14983.904323509,-14731.2193530795,-14661.3265282622,-14594.5749282866,-14345.42585504
"Cml Pop Growth","Neonatal Male",92472.6825954189,84.0032743207913,92222.2773385262,92415.3207722762,92473.706045592,92530.6372004725,92744.361205758
"Cml Pop Growth","Neonatal Combined",77809.4357675009,182.821616951523,77238.3730150173,77686.032326225,77811.3507241789,77937.0346530295,78398.9353507179
"Cml Pop Growth","Juvenile Female",-13114.7455412104,47.5983183919714,-13269.2962897767,-13148.1256832204,-13112.7564244851,-13082.2317762863,-12963.8487214811
"Cml Pop Growth","Juvenile Male",107111.671038521,43.9062489505424,106969.613961557,107080.941550678,107113.094715691,107141.669521552,107251.914554372
"Cml Pop Growth","Juvenile Combined",93996.9254973109,91.4976216475801,93700.3176717806,93932.4382278242,94000.7514295382,94059.4171511705,94288.0658328912
"Cml Pop Growth","Adult Female",-137265.382430462,8.68393919429728,-137294.588998325,-137271.258604864,-137265.055257158,-137259.598058805,-137241.508167353
"Cml Pop Growth","Adult Male",38406.3774256368,8.69155032518273,38377.151096758,38400.5011058731,38406.7065864349,38412.1864573891,38430.2321245926
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",578152.004295928,309.789194931903,577092.144211688,577936.373647273,578157.035150628,578360.215699025,579116.592037792
"Total Number Increase","Neonatal Female",21031.7392001117,104.227801714682,20690.3477861003,20959.5697878907,21036.1855560832,21103.4081946441,21363.4370603633
"Total Number Increase","Neonatal Male",202472.392535769,110.4450774457,202105.247867769,202395.233108861,202476.20386425,202547.65868079,202821.853448233
"Total Number Increase","Neonatal Combined",223504.131735881,214.528375109314,222795.595653869,223355.022916819,223514.199936098,223652.054051283,224185.290508596
"Total Number Increase","Juvenile Female",100884.995778345,52.2232755646607,100713.812455538,100849.598183929,100887.262802709,100920.118187286,101048.62148497
"Total Number Increase","Juvenile Male",107111.671038521,43.9062489505424,106969.613961557,107080.941550678,107113.094715691,107141.669521552,107251.914554372
"Total Number Increase","Juvenile Combined",207996.666816866,96.084415393652,207683.426417095,207929.721179959,208000.996793377,208062.155968798,208300.536039342
"Total Number Increase","Adult Female",99771.3058495038,9.28144206464497,99740.0993912248,99765.0353700549,99771.6364796596,99777.5405859453,99796.6089114777
"Total Number Increase","Adult Male",46879.8998936764,9.03432870976818,46849.5265146209,46873.8002160909,46880.2493964294,46885.9756788782,46904.574175614
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",64279.0243970885,8.38390608612197,64251.1993053742,64273.3509209434,64279.438989478,64284.4617435957,64304.7989280393
"Total Mortality","Neonatal Female",22714.9911087461,4.30208056872422,22700.7244957635,22712.0956217101,22715.2053284264,22717.767612208,22728.1926822952
"Total Mortality","Neonatal Male",10845.041825105,3.67302096922224,10832.9484222244,10842.5544367786,10845.2312949001,10847.4887150386,10856.5189495046
"Total Mortality","Neonatal Combined",33560.0329338511,7.97289677974969,33533.6729179879,33554.6659538094,33560.4509094086,33565.2408576527,33584.7116317997
"Total Mortality","Juvenile Female",4384.60543536751,0.191669343805356,4383.9611485763,4384.47616095997,4384.61251055387,4384.73478820984,4385.12589799236
"Total Mortality","Juvenile Male",937.597997873528,0.180686574195364,936.990530292418,937.476004321818,937.604987928587,937.719513577563,938.09148351228
"Total Mortality","Juvenile Combined",5322.20343324104,0.372350035042069,5320.95167886872,5321.95141368138,5322.21715007671,5322.45341461564,5323.21738150464
"Total Mortality","Adult Female",25396.7880299964,0.0660329136323545,25396.5647434672,25396.7444787533,25396.7895146138,25396.8321104675,25396.9604069808
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",407020416.945765,133064066.466638,69025069.9479066,305444130.89933,408960596.987326,513935144.101199,708156109.989156
"Population Liveweight (kg)","Neonatal Female",23681628.5398519,13606797.0232101,312798.067037141,11579154.1710727,23773014.9632154,36304915.9824409,46020216.3741876
"Population Liveweight (kg)","Neonatal Male",13807247.7045611,7988526.37608458,185964.186794039,6886191.19321677,13859956.5568031,20840977.8800994,27362140.4596063
"Population Liveweight (kg)","Juvenile Female",83663258.7458912,46656738.1990658,430933.98462437,43530047.1181801,85751599.737529,124222809.098946,161634409.89608
"Population Liveweight (kg)","Juvenile Male",29507880.8079489,16848018.7726152,154933.722586361,15029065.4243955,29981434.2523828,43443452.2646184,58147010.2189309
"Population Liveweight (kg)","Juvenile Combined",113171139.55384,49272594.0873607,3481733.7883454,72575909.7476106,114082117.438344,153617213.014206,218159034.537974
"Population Liveweight (kg)","Adult Female",214230959.948951,122597366.605901,2329648.45689188,106192591.072925,214329930.844384,322460956.871897,427105666.131621
"Population Liveweight (kg)","Adult Male",21064720.5992805,12567135.5631171,77460.7328901941,9606604.89715921,21338705.9266827,31990655.4896651,42606961.3001451
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",89511395.3184947,40872575.6372944,5653272.54858794,54624817.8975714,88623384.7170121,124058142.821568,173546275.245498
"Offtake Liveweight (kg)","Juvenile Female",21441290.5427,12299361.4882225,113995.516117951,10830249.8748875,21546475.8995782,32147792.3640691,42637114.8541508
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",65757058.4767798,38284064.433626,237036.084258024,32177744.7140182,65185037.9096092,99792366.9779205,130133029.887754
"Offtake Liveweight (kg)","Adult Male",2313046.29901478,1350118.62433771,16946.9611357458,1107901.9261071,2313218.03193388,3459060.99758895,4660297.71576492
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",295101345.793375,43709594.2262838,163002871.252111,265447946.270834,294169050.766037,324291627.252791,410310062.425088
"Manure","Overall",946819878.743584,35937377.0200631,847119081.234414,921379729.403009,946904047.458027,971311047.156912,1069146703.36256
"Manure","Neonatal Female",75773928.7156542,1910728.80085174,69489681.8356432,74476296.2427299,75839989.8825363,77087476.8273938,80681519.7830298
"Manure","Neonatal Male",38034168.9232219,973439.155692339,35044887.1051402,37373479.8038238,38032517.5767438,38710125.056607,40785890.9831642
"Manure","Neonatal Combined",113808097.638876,2150590.55534872,106290785.003931,112389069.430826,113763017.185826,115253081.798606,119632967.360369
"Manure","Juvenile Female",180830705.427426,6040781.80698593,160597328.660678,176857725.414832,180799844.769751,184931410.767815,201264078.270519
"Manure","Juvenile Male",42526499.7665564,1466487.64726658,37840950.6108324,41506460.3866867,42551715.8909107,43515516.946243,46466278.8609374
"Manure","Juvenile Combined",223357205.193983,6195691.42734051,204394524.763705,219440487.244724,223411308.703057,227615845.820966,244273210.621352
"Manure","Adult Female",571472891.200225,35293252.4352964,470562139.156762,549627986.499844,571015589.023689,592295656.344662,691476786.622799
"Manure","Adult Male",38181684.7105001,2372717.76193108,30129380.8824932,36530179.5675137,38183586.7023856,39784686.1020488,45021750.126679
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",15359.4957316187,0.218405283525296,15358.762717446,15359.3462676142,15359.5023757458,15359.6443937475,15360.0792485468
"Hides","Juvenile Female",2192.30271768375,0.0958346719026782,2191.98057428815,2192.23808047999,2192.30625527694,2192.36739410492,2192.56294899618
"Hides","Juvenile Male",468.798998936764,0.0903432870976822,468.495265146209,468.738002160909,468.802493964294,468.859756788782,469.04574175614
"Hides","Juvenile Combined",2661.10171662052,0.186175017521035,2660.47583943436,2660.97570684069,2661.10857503835,2661.22670730782,2661.60869075232
"Hides","Adult Female",12698.3940149982,0.0330164568161772,12698.2823717336,12698.3722393767,12698.3947573069,12698.4160552337,12698.4802034904
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1381321635.22219,86201130.7800551,1126351139.79876,1320957308.07303,1384414310.28729,1440772253.91316,1655885048.79954
"Cml Dry Matter","Neonatal Female",232095048.825854,26380081.4613379,155555414.093764,213363262.153965,232450320.575686,251904806.922646,320224454.4042
"Cml Dry Matter","Neonatal Male",116819867.58925,14459973.5355182,73536178.5315328,107035907.507412,117243634.935592,126642731.774005,161966076.448707
"Cml Dry Matter","Neonatal Combined",348914916.415104,30225716.9988,262986935.311937,329094011.96255,347723610.936121,368618582.492087,451574450.543533
"Cml Dry Matter","Juvenile Female",315819962.50829,36769513.5145255,222615245.081245,288885751.129815,314876290.598245,341080396.170634,419743922.883768
"Cml Dry Matter","Juvenile Male",74217377.3644576,9435765.54192588,44837468.3090402,67744786.9648287,74226399.7614537,80401823.658646,101163777.41556
"Cml Dry Matter","Juvenile Combined",390037339.872748,38525261.0417459,281352723.227234,364645802.733743,389377298.835174,415499747.000717,505346508.974474
"Cml Dry Matter","Adult Female",602235068.830891,71185567.2174038,398030357.211646,550515116.199957,601755381.27908,651911266.164485,826998967.141872
"Cml Dry Matter","Adult Male",40134310.1034488,4787405.05580013,28289640.9759424,36759455.9536946,39951729.8830705,43501483.9225055,54881492.7485198
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",7801377252.53386,111816.231556329,7801000942.44211,7801301734.3381,7801379476.23089,7801453863.2116,7801671840.39717
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1930927618.47063,84408.8789797443,1930643882.29922,1930870687.57284,1930930734.2978,1930984583.91015,1931156823.96506
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1930927618.47063,84408.8789797443,1930643882.29922,1930870687.57284,1930930734.2978,1930984583.91015,1931156823.96506
"Value of Offtake","Adult Female",5545710358.99809,14419.1231085764,5545661601.55614,5545700849.03252,5545710683.1831,5545719984.52731,5545747999.69608
"Value of Offtake","Adult Male",324739275.065148,13552.5633436316,324693444.957832,324730323.591571,324739579.169606,324748320.378858,324774676.120436
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",972485018.266796,3750643.25855727,959680341.408487,969843591.226529,972588833.961221,975000214.231219,984308694.857853
"Value of Herd Increase","Neonatal Female",-162996651.739136,1104956.21945581,-166561080.460126,-163752234.328832,-162975305.688163,-162233294.902834,-159463753.804625
"Value of Herd Increase","Neonatal Male",885980771.946708,804835.371267502,883581639.18042,885431188.319178,885990577.622817,886536035.017727,888583724.712367
"Value of Herd Increase","Neonatal Combined",722984120.207572,1903818.87688789,717020558.720294,721697699.330952,723011696.812709,724314332.189825,729119970.907742
