"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505621.388859298,50.3212549967542,505448.813712756,505588.011595082,505621.083729888,505655.371525233,505814.551101715
"Num Offtake","Neonatal Female",35697.2244303143,6.86030790627591,35673.7347266741,35692.6750138659,35697.1781713806,35701.8512924872,35723.5283998538
"Num Offtake","Neonatal Male",110012.92543472,37.6785444579473,109883.488691448,109987.644963479,110012.849085577,110038.297531727,110158.744009105
"Num Offtake","Neonatal Combined",145710.149865035,44.5323104621871,145557.223418122,145680.215460763,145709.997506321,145740.198952765,145882.272408958
"Num Offtake","Juvenile Female",114428.957155512,5.17124619834325,114410.761646311,114425.477377154,114428.905716056,114432.446605938,114448.962075362
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114428.957155512,5.17124619834325,114410.761646311,114425.477377154,114428.905716056,114432.446605938,114448.962075362
"Num Offtake","Adult Female",237099.981885979,0.643014836908314,237097.585861365,237099.549348772,237099.978322181,237100.412402632,237102.420462855
"Num Offtake","Adult Male",8382.29995277168,0.367182104335523,8380.93167342601,8382.05301691957,8382.29784385035,8382.54601088938,8383.69223666839
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76470.6813588451,261.680240095291,75538.7176924038,76294.6022473747,76470.489554888,76646.1914731092,77600.226559673
"Cml Pop Growth","Neonatal Female",-14580.5938341294,96.4090550854496,-14939.4134168179,-14644.8641851347,-14581.1476774306,-14514.126155954,-14185.2268166613
"Cml Pop Growth","Neonatal Male",92546.2157382016,81.0820589610338,92234.4146126004,92491.5357106159,92546.0815545641,92601.667260173,92861.8357087347
"Cml Pop Growth","Neonatal Combined",77965.6219040721,176.88078888996,77295.0011957825,77846.9108496155,77964.2391986658,78086.2889011096,78672.9524667391
"Cml Pop Growth","Juvenile Female",-9964.42189926988,48.1410473227861,-10129.5341570336,-9996.88391523978,-9964.60973704178,-9931.83620589726,-9777.38241909543
"Cml Pop Growth","Juvenile Male",107915.738464561,44.3405925881849,107763.517418612,107885.971903822,107915.65139357,107945.925278397,108088.729516439
"Cml Pop Growth","Juvenile Combined",97951.3165652915,92.4744432385985,97633.9832615787,97889.0201271043,97951.0020696788,98013.9861687155,98311.3470973438
"Cml Pop Growth","Adult Female",-136535.158935437,9.00313489446466,-136566.54675433,-136541.181849863,-136535.201359673,-136529.090740368,-136500.234105376
"Cml Pop Growth","Adult Male",37088.9018249186,8.94784773193172,37057.6874983495,37082.9166184762,37088.8544239336,37094.9397557288,37123.5986573214
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582092.070218143,305.366576605614,581025.232282062,581887.09854379,582090.601613478,582297.453569194,583414.777661388
"Total Number Increase","Neonatal Female",21116.6305961848,101.251703036821,20747.598430896,21048.9328823288,21116.0206321632,21186.3058477208,21538.3015831925
"Total Number Increase","Neonatal Male",202559.141172922,107.584840837168,202168.558292123,202487.218206066,202558.405105567,202632.203320189,203016.923292505
"Total Number Increase","Neonatal Combined",223675.771769107,208.675076545765,222919.02386146,223536.015599701,223674.156525394,223817.895325227,224555.224875698
"Total Number Increase","Juvenile Female",104464.535256242,52.9521241121345,104282.854668641,104429.035252019,104464.277510874,104500.147490754,104669.394149662
"Total Number Increase","Juvenile Male",107915.738464561,44.3405925881849,107763.517418612,107885.971903822,107915.65139357,107945.925278397,108088.729516439
"Total Number Increase","Juvenile Combined",212380.273720804,97.246088754356,212046.372087254,212314.749892712,212380.002417357,212446.067599301,212758.123666101
"Total Number Increase","Adult Female",100564.822950542,9.62862835022025,100531.039107035,100558.350858495,100564.738663222,100571.319151221,100602.105655938
"Total Number Increase","Adult Male",45471.2017776903,9.30488770365027,45438.6191717755,45464.9458743446,45471.1305968556,45477.4834725494,45507.2451139176
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60527.171855688,8.19738099572644,60499.0439174371,60521.7042779528,60527.1325140356,60532.6976247079,60558.7248117531
"Total Mortality","Neonatal Female",22716.4155465636,4.36565048581192,22701.4675533381,22713.5204633692,22716.3861090604,22719.3599134009,22733.1544362706
"Total Mortality","Neonatal Male",10846.3447611696,3.71478607331874,10833.5833921146,10843.852320343,10846.3372337893,10848.8462355224,10860.7212403343
"Total Mortality","Neonatal Combined",33562.7603077332,8.07817409247119,33535.0509454527,33557.369665309,33562.7070534363,33568.195857523,33593.8756766049
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.5694877835,0.0688944468115863,25403.3127708605,25403.5231445113,25403.569105948,25403.6156145677,25403.8307638773
"Total Mortality","Adult Male",1560.84206017128,0.0683718401176478,1560.5872771207,1560.79607901261,1560.84166747558,1560.88787788975,1561.1013130348
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",383782297.914135,134074006.332258,44987505.095942,276911716.621271,384865910.156776,490328766.42138,714960225.657409
"Population Liveweight (kg)","Neonatal Female",23288515.4753033,13288930.025739,312863.249328052,11891372.1461537,23170398.8940486,34741304.1156791,46057715.9698407
"Population Liveweight (kg)","Neonatal Male",13782811.8428792,7896309.43233205,185956.245129562,6890189.76560864,13774148.0040192,20667980.8101708,27386078.2694021
"Population Liveweight (kg)","Juvenile Female",81455201.0728717,46883910.5402474,434045.946190627,41238245.4316144,80749552.1947595,121561357.012954,162823574.694295
"Population Liveweight (kg)","Juvenile Male",29334886.5521987,16934128.1105213,155693.295991425,14491365.4189545,29436809.9490533,44088786.8161625,58452776.293332
"Population Liveweight (kg)","Juvenile Combined",110790087.62507,49857238.6507474,1213222.01814959,70544323.1295373,110242663.625626,151470255.305622,220758526.356423
"Population Liveweight (kg)","Adult Female",214737604.379929,122720416.028656,777264.178652068,109594659.606835,216859891.139294,320237915.484945,427511327.886872
"Population Liveweight (kg)","Adult Male",21183278.5909537,12052466.2339228,76121.8850458694,10734558.687767,21472549.7379925,31600798.7790479,41889995.3190871
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",89218513.5391072,39690663.2387233,3191476.75330111,56918777.344141,89085138.5891803,122327586.552918,175672395.403896
"Offtake Liveweight (kg)","Juvenile Female",21539630.9247552,12328072.1349992,114420.900595429,10870953.2682077,21626085.3541251,32266410.2805979,42915129.2255421
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",65369817.0679329,37673856.7781431,237099.192828616,32719788.4724449,65439616.5283951,97922260.5626666,130405754.363054
"Offtake Liveweight (kg)","Adult Male",2309065.54641903,1325511.97138517,8381.52431669326,1156782.12807096,2305068.8214821,3461808.10016909,4610486.05536297
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",294021461.840757,42927871.1459266,120880409.925952,264677596.163557,293968894.649952,323489132.193884,437824849.573938
"Manure","Overall",948161567.405153,35516240.7851329,821590512.510971,924471253.023033,948050327.941661,972227108.800441,1072219347.92198
"Manure","Neonatal Female",75695494.5111364,1894834.65266438,67178325.8884173,74405689.1388516,75675166.8616949,76990038.8906301,83147895.7363761
"Manure","Neonatal Male",38071876.4554747,965006.071709433,34792892.4659181,37422746.7093868,38079824.465398,38734679.6795476,41291687.4704616
"Manure","Neonatal Combined",113767370.966611,2128762.76411315,103804173.439033,112327547.69463,113745792.76246,115199912.90658,122345407.720411
"Manure","Juvenile Female",181826849.362713,6086995.76535145,160146896.813706,177673381.593595,181721068.321897,185996954.169743,202948393.999374
"Manure","Juvenile Male",42645017.0927502,1505572.58608301,36939054.4422095,41640233.0113924,42649003.6608178,43677223.1918887,49494756.876252
"Manure","Juvenile Combined",224471866.455463,6278628.44697454,203363623.86235,220188198.894178,224413064.316574,228687238.249354,245981867.11252
"Manure","Adult Female",572143525.091127,34834504.6306406,451119541.390436,550671370.951772,571591022.698681,592641319.201146,691720124.083618
"Manure","Adult Male",37778804.8919523,2318173.70263325,29762504.2885295,36211716.0512235,37792541.7218286,39320953.141249,45640797.2565827
