"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505111.680022296,50.8733537041391,504930.424708915,505076.842978491,505112.070009191,505145.822655632,505301.58286931
"Num Offtake","Neonatal Female",35695.5559792854,6.93696138935884,35670.8760654918,35690.8087207394,35695.6100746717,35700.215578675,35721.4205760405
"Num Offtake","Neonatal Male",110002.894202809,38.1092668826182,109869.569794581,109976.782224699,110003.16278198,110028.54663709,110143.953769276
"Num Offtake","Neonatal Combined",145698.450182094,45.039662787245,145540.445860073,145667.545878656,145698.774541065,145728.778457372,145865.374345317
"Num Offtake","Juvenile Female",114000.100927309,5.20890704258233,113980.590162497,113996.579603798,114000.144529476,114003.620964807,114019.787869894
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114000.100927309,5.20890704258233,113980.590162497,113996.579603798,114000.144529476,114003.620964807,114019.787869894
"Num Offtake","Adult Female",237036.724754205,0.647863732324207,237034.251995652,237036.290074222,237036.729188632,237037.164235444,237039.375927358
"Num Offtake","Adult Male",8376.40415868813,0.369934888993918,8374.992259015,8376.15601449513,8376.40652743062,8376.65501924619,8377.91790557949
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71506.0596375416,268.80273222729,70483.6765861853,71327.1976398601,71503.6494335664,71688.7778704711,72510.2379073994
"Cml Pop Growth","Neonatal Female",-14656.260064806,99.7488051541148,-15036.823929778,-14722.7952643229,-14657.6960025684,-14587.9324143439,-14293.103385867
"Cml Pop Growth","Neonatal Male",92477.8003005632,84.1254467107095,92168.4836731225,92420.5776735571,92477.7282117611,92535.2837453649,92789.7822083617
"Cml Pop Growth","Neonatal Combined",77821.5402357572,183.280055872438,77131.6597433445,77697.1031547454,77819.3533894902,77946.459827707,78487.2918820292
"Cml Pop Growth","Juvenile Female",-13110.6291583514,48.5418595546126,-13277.2101306153,-13143.6686336712,-13110.2590017674,-13077.7418452853,-12932.7887496833
"Cml Pop Growth","Juvenile Male",107115.486069157,44.7059738435282,106963.744417237,107085.218877545,107115.893476886,107145.867608031,107278.362330056
"Cml Pop Growth","Juvenile Combined",94004.8569108057,93.2405175525606,93686.5492723672,93941.7912941831,94005.5364091215,94068.0742802318,94345.5735803725
"Cml Pop Growth","Adult Female",-137264.745733187,9.06854706165854,-137298.685910835,-137270.852200759,-137264.680939451,-137258.599119822,-137230.503912732
"Cml Pop Growth","Adult Male",36944.4082241656,9.01207293782675,36910.6736373074,36938.3323377275,36944.4740519469,36950.5060835508,36978.4396042156
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576617.739659838,312.85967869508,575446.251575098,576407.655607757,576616.44316954,576830.071423012,577780.63308007
"Total Number Increase","Neonatal Female",21039.2959144794,104.650395191145,20638.3978596663,20969.003210702,21037.8013133375,21111.0402833446,21424.0878315736
"Total Number Increase","Neonatal Male",202480.694503372,111.013739172587,202055.951964286,202406.35253584,202479.815995145,202556.619663252,202891.62553352
"Total Number Increase","Neonatal Combined",223519.990417852,215.503897216943,222694.349823952,223376.137638122,223517.904214515,223666.884741121,224315.713365093
"Total Number Increase","Juvenile Female",100889.471768957,53.3884639489699,100703.380031881,100852.899274952,100889.935570747,100925.323394454,101086.657625895
"Total Number Increase","Juvenile Male",107115.486069157,44.7059738435282,106963.744417237,107085.218877545,107115.893476886,107145.867608031,107278.362330056
"Total Number Increase","Juvenile Combined",208004.957838115,98.047368352533,207667.139434864,207938.022891502,208005.657983274,208071.416863775,208365.019955951
"Total Number Increase","Adult Female",99771.9790210177,9.69869689721152,99735.6581256221,99765.4335605579,99772.0529964366,99778.5340008932,99808.6262675896
"Total Number Increase","Adult Male",45320.8123828538,9.37175439903697,45285.7182871954,45314.4900233008,45320.8904250399,45327.1517803896,45356.2174293052
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",65839.4761306218,8.66107096996555,65808.6604852101,65833.5545837348,65839.5539439751,65845.286834432,65871.7824021513
"Total Mortality","Neonatal Female",22715.3538049998,4.41442997504652,22699.648405313,22712.3328222887,22715.3882293365,22718.3190046113,22731.8130938439
"Total Mortality","Neonatal Male",10845.3557664741,3.75725166448348,10832.211106508,10842.7813460971,10845.3822461107,10847.8848797131,10859.2630476751
"Total Mortality","Neonatal Combined",33560.7095714739,8.16941079430995,33531.859511821,33555.1177256882,33560.7676197746,33566.2025266424,33591.0761415191
"Total Mortality","Juvenile Female",4384.61926643496,0.20034257856086,4383.86885240372,4384.48383091532,4384.62094344137,4384.75465249256,4385.3764565344
