Species,Production system,Age class,AHLE,mean,sd,region,year,variance
Goat,Crop livestock mixed,Adult female,Mortality,100918721721.28783,3350615661.7362676,National,2020,1.1226625312672367e+19
Goat,Crop livestock mixed,Adult male,Mortality,92705848702.6583,3221237845.7117343,National,2020,1.0376373258645576e+19
Goat,Crop livestock mixed,Juvenile,Mortality,94997470533.92973,3109524956.060628,National,2020,9.66914545236385e+18
Goat,Crop livestock mixed,Neonate,Mortality,97637776728.77164,3409204213.5360346,National,2020,1.1622673369591853e+19
Goat,Pastoral,Adult female,Mortality,36832061376.473724,3662822711.710489,National,2020,1.3416270217422178e+19
Goat,Pastoral,Adult male,Mortality,32532959280.399727,4416498775.685971,National,2020,1.9505461435635683e+19
Goat,Pastoral,Juvenile,Mortality,34603581016.28553,4985524515.883228,National,2020,2.4855454698472698e+19
Goat,Pastoral,Neonate,Mortality,35221715246.96001,4654459213.447399,National,2020,2.166399056964538e+19
Sheep,Crop livestock mixed,Adult female,Mortality,2666322746.716172,4854808577.437273,National,2020,2.356916632355852e+19
Sheep,Crop livestock mixed,Adult male,Mortality,1730481903.2825518,3718616575.6496987,National,2020,1.382810923669669e+19
Sheep,Crop livestock mixed,Juvenile,Mortality,1669813691.6813154,2917052191.284484,National,2020,8.509193486677609e+18
Sheep,Crop livestock mixed,Neonate,Mortality,5002556094.265981,3116736939.4664264,National,2020,9.714049149834547e+18
Sheep,Pastoral,Adult female,Mortality,-251381104.2346096,1091823178.9180193,National,2020,1.192077854022649e+18
Sheep,Pastoral,Adult male,Mortality,-526140214.5246568,1045199194.0800189,National,2020,1.092441355305521e+18
Sheep,Pastoral,Juvenile,Mortality,-241455253.29713297,1120681853.9955323,National,2020,1.2559278178748636e+18
Sheep,Pastoral,Neonate,Mortality,1223176778.2666287,1068567178.4861511,National,2020,1.141835814937854e+18
Goat,Crop livestock mixed,Adult female,Health cost,49611684.416988954,739178.3650739047,National,2020,546384655393.3308
Goat,Crop livestock mixed,Adult male,Health cost,49611684.416988954,739178.3650739047,National,2020,546384655393.3308
Goat,Crop livestock mixed,Juvenile,Health cost,49611684.416988954,739178.3650739047,National,2020,546384655393.3308
Goat,Crop livestock mixed,Neonate,Health cost,49611684.416988954,739178.3650739047,National,2020,546384655393.3308
Goat,Pastoral,Adult female,Health cost,69130744.33148295,1018614.3171947524,National,2020,1037575127194.1316
Goat,Pastoral,Adult male,Health cost,69130744.33148295,1018614.3171947524,National,2020,1037575127194.1316
Goat,Pastoral,Juvenile,Health cost,69130744.33148295,1018614.3171947524,National,2020,1037575127194.1316
Goat,Pastoral,Neonate,Health cost,69130744.33148295,1018614.3171947524,National,2020,1037575127194.1316
Sheep,Crop livestock mixed,Adult female,Health cost,60189898.44166133,1108705.153207219,National,2020,1229227116748.243
Sheep,Crop livestock mixed,Adult male,Health cost,60189898.44166133,1108705.153207219,National,2020,1229227116748.243
Sheep,Crop livestock mixed,Juvenile,Health cost,60189898.44166133,1108705.153207219,National,2020,1229227116748.243
Sheep,Crop livestock mixed,Neonate,Health cost,60189898.44166133,1108705.153207219,National,2020,1229227116748.243
Sheep,Pastoral,Adult female,Health cost,45666619.44199829,521193.47574543324,National,2020,271642639159.6055
Sheep,Pastoral,Adult male,Health cost,45666619.44199829,521193.47574543324,National,2020,271642639159.6055
Sheep,Pastoral,Juvenile,Health cost,45666619.44199829,521193.47574543324,National,2020,271642639159.6055
Sheep,Pastoral,Neonate,Health cost,45666619.44199829,521193.47574543324,National,2020,271642639159.6055
Goat,Crop livestock mixed,Adult female,Production loss,88379249488.36678,12518917465.346777,National,2020,1.5672329450416456e+20
Goat,Crop livestock mixed,Adult male,Production loss,4078535156.694446,4683406502.958876,National,2020,2.1934296471957484e+19
Goat,Crop livestock mixed,Juvenile,Production loss,99654829150.20988,5889764583.315964,National,2020,3.468932684688307e+19
Goat,Crop livestock mixed,Neonate,Production loss,97404561101.63657,6226714860.225877,National,2020,3.877197795055776e+19
Goat,Pastoral,Adult female,Production loss,43967088114.12784,6366314185.309941,National,2020,4.052995630607858e+19
Goat,Pastoral,Adult male,Production loss,-60255448.600152075,6118431391.017708,National,2020,3.7435202686590886e+19
Goat,Pastoral,Juvenile,Production loss,33762222202.68863,8100060441.79377,National,2020,6.561097916071228e+19
Goat,Pastoral,Neonate,Production loss,31750185853.701576,7612669988.131748,National,2020,5.795274434820183e+19
Sheep,Crop livestock mixed,Adult female,Production loss,13659873806.071484,7323101447.601028,National,2020,5.362781481185628e+19
Sheep,Crop livestock mixed,Adult male,Production loss,793476290.0187192,5437658471.705398,National,2020,2.956812965490948e+19
Sheep,Crop livestock mixed,Juvenile,Production loss,1176604411.8157477,5807004201.460149,National,2020,3.372129779577582e+19
Sheep,Crop livestock mixed,Neonate,Production loss,3370911640.6666045,5750890273.261397,National,2020,3.3072738935092548e+19
Sheep,Pastoral,Adult female,Production loss,2442490208.2903633,1680635530.0056326,National,2020,2.8245357847173135e+18
Sheep,Pastoral,Adult male,Production loss,923177598.7669733,1604229359.153038,National,2020,2.5735518367685673e+18
Sheep,Pastoral,Juvenile,Production loss,-517907422.1502846,1948115774.7133365,National,2020,3.795155071686943e+18
Sheep,Pastoral,Neonate,Production loss,2699526239.710935,1870516168.4052713,National,2020,3.498830736265537e+18
