"display_names","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake",4816329.99437161,17910.7531272674,4798449.06198443,4803593.47791559,4806458.78300761,4826056.54846514,4847876.9884216
"Cml Pop Growth",-1798993.87445655,122196.658803087,-2011310.26100966,-1848107.2134916,-1746225.18301007,-1709159.80595219,-1691105.61696779
"Total Number Increase",3017336.11991506,134078.686630389,2791725.5394324,2952289.76625424,3057162.72207106,3125571.56749339,3156771.37145381
"Total Mortality",4142710.52186739,75504.8363149484,3980791.44235994,4095982.89047894,4167902.58976502,4199793.66565138,4221148.99921368
"Liveweight (kg)",5047558134.36604,26423850.8543763,5001962907.84228,5027981671.89911,5046924000.47303,5068405469.05266,5083662210.8952
"Meat (kg)",174743534.532062,1462282.11791544,172449795.077049,173715555.325777,175222577.100689,175635306.363778,176923601.411526
"Manure",266673928.728255,6506483.61180529,257371608.913633,261592270.65586,266906045.995601,270225827.385045,276059607.251423
"Hides",5573939.0185722,35981.2262059675,5524769.66622368,5542861.23583656,5579442.298969,5601590.8808935,5627673.94438006
"Milk",0,0,0,0,0,0,0
"Wool",0,0,0,0,0,0,0
"Cml Dry Matter",131301436.84246,617999.119850061,130095172.696772,131021465.576124,131297714.596586,131548709.096609,132264651.50173
"Value of Offtake",23196572510.5431,574682659.301931,22183852495.876,22813348003.3947,23244726436.7548,23715287888.9353,23862455572.4902
"Value of Herd Increase",-2932508551.09991,552255090.825045,-3683304626.3332,-3419761634.11242,-2929288530.99746,-2478197720.13005,-2139503257.2149
"Total Value Increase 1",20264063959.4432,698826812.689838,19389899251.0784,19778681201.7108,20210559156.9165,20796848768.5843,21499115328.5124
"Value of Manure",133336964.364128,3253241.80590265,128685804.456816,130796135.32793,133453022.997801,135112913.692523,138029803.625711
"Value of Hides",111478780.371444,719624.524119351,110495393.324474,110857224.716731,111588845.97938,112031817.61787,112553478.887601
"Value of Milk",0,0,0,0,0,0,0
"Total Value Increase 2",20508879704.1788,699970653.146755,19636795558.399,20021905683.296,20452669982.4795,21042766232.341,21744019880.8864
"Feed Cost",161220939.446484,12270036.7412903,141417034.883628,157300524.119939,159369444.962926,167214874.467985,180752534.898633
"Labour Cost",1610059381.78383,61186496.2304784,1455898035.7899,1605035255.26735,1618978147.62209,1640190055.98595,1673720044.44477
"Health Cost",9820203.56459914,170216.335972355,9566676.331833,9744720.90992449,9791050.42215244,9943030.25205294,10071009.0985933
"Capital Cost",0,0,0,0,0,0,0
"Total Expenditure",1781100524.79491,56079567.8335343,1643430258.42788,1774016253.36385,1791649842.31829,1800152264.66979,1842084845.42947
"Gross Margin",18727779179.3839,687221941.466065,17869657399.2572,18221753418.6262,18668700797.2964,19234369541.1582,19946495522.8856
