"display_names","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake",1737463.13539106,11509.9920161112,1711593.25622249,1734749.19182605,1737286.67850095,1741784.08861193,1756920.82652836
"Cml Pop Growth",2039634.5809427,169196.303404113,1815866.32085453,1897976.63123885,2052612.49331694,2144226.83999302,2305207.69453351
"Total Number Increase",3777097.71633376,170807.401927883,3527459.57707702,3639809.14907439,3789870.06273713,3877629.22520832,4042977.96993081
"Total Mortality",2856476.06185961,51094.1094134613,2775806.75406707,2814304.99848241,2863284.87591958,2882635.20017256,2926620.401691
"Liveweight (kg)",5958262637.501,122341860.835578,5661591243.16839,5941590949.82111,5978967994.79424,6005257244.64019,6115124898.61813
"Meat (kg)",211698146.698861,9657408.29760061,193455992.872431,205224815.281831,212522253.774252,217120969.198844,225028245.90455
"Manure",212841190.644318,9607870.71424927,192890692.564756,208670694.844137,215030688.539511,216781679.786206,227230936.591397
"Hides",2088720.62103069,12441.1927888346,2060499.45613191,2085877.7322447,2088142.66741743,2093462.01993149,2109320.10089705
"Milk",0,0,0,0,0,0,0
"Wool",0,0,0,0,0,0,0
"Cml Dry Matter",153946442.877532,3240370.50809496,147332183.99071,152710041.419055,153916620.476018,155379026.936825,159841733.615795
"Value of Offtake",4665250672.84565,88375300.8439434,4538166119.38668,4591007446.83495,4681687114.24889,4707894079.6249,4823310653.75282
"Value of Herd Increase",4339552011.12167,429678841.747641,3306296236.91944,4246519881.98932,4352135801.81285,4579274212.46794,4884556217.03526
"Total Value Increase 1",9004802683.96732,465900837.367685,7907884387.97771,8902253085.42247,9033822916.06174,9303063024.19887,9585586930.86831
"Value of Manure",106420595.322159,4803935.35712463,96445346.2823781,104335347.422069,107515344.269756,108390839.893103,113615468.295698
"Value of Hides",83548824.8412275,497647.711553382,82419978.2452764,83435109.2897881,83525706.696697,83738480.7972597,84372804.0358819
"Value of Milk",0,0,0,0,0,0,0
"Total Value Increase 2",9194772104.13071,465829030.554047,8101027938.80974,9086266221.98964,9224889220.6582,9494919330.66592,9772770362.34753
"Feed Cost",0,0,0,0,0,0,0
"Labour Cost",1138111396.61252,55165281.3754657,1032034141.96488,1111451945.37641,1132276444.12258,1174379971.36354,1221643733.92215
"Health Cost",7159890.62200935,215991.149439195,6846725.92752274,6984714.81478332,7226667.84885576,7291243.89105267,7441611.63226429
"Capital Cost",0,0,0,0,0,0,0
"Total Expenditure",1145271287.23453,55187181.4853096,1038982130.92781,1118781851.30769,1139393802.85274,1181580395.79984,1228925491.52859
"Gross Margin",8049500816.89618,452445233.261146,6959514454.29869,7896927484.2298,8111478159.205,8340681658.63732,8599005174.86146
