"display_names","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake",1866116.03983083,14554.2636452886,1841033.88894963,1856932.76043452,1867165.90228991,1873656.15747233,1889367.66709302
"Cml Pop Growth",6429562.61393974,194546.215253014,6182453.95671801,6238844.15324545,6487276.3806076,6556558.90280622,6721862.27136456
"Total Number Increase",8295678.65377057,203242.92884841,8034804.86261876,8088227.57033761,8352863.5300312,8432098.89398731,8585170.727171
"Total Mortality",0,0,0,0,0,0,0
"Liveweight (kg)",6213186117.10501,205221501.024998,5876926964.05654,6124732704.91198,6152178319.44439,6299430536.53839,6585047149.48918
"Meat (kg)",243427592.054982,18648134.706112,215263834.516971,228501940.312158,245899472.623432,254765131.495302,273256769.76375
"Manure",274560696.015886,9691276.78538167,257238606.46585,268676002.468018,275080290.928233,280396600.119847,291024715.858407
"Hides",1866116.03983083,14554.2636452886,1841033.88894963,1856932.76043452,1867165.90228991,1873656.15747233,1889367.66709302
"Milk",0,0,0,0,0,0,0
"Wool",0,0,0,0,0,0,0
"Cml Dry Matter",158889692.094742,3215513.62291878,153093821.047289,157126161.625804,158367576.94907,160665702.849588,164847482.180604
"Value of Offtake",4758795764.72621,100994778.051668,4679471789.6175,4687839767.81771,4714123883.70558,4802097822.09629,4989343940.20165
"Value of Herd Increase",10786653919.895,638715064.497177,9924231343.39391,10368256935.1803,10584945335.3868,11317612348.907,11699631756.9429
"Total Value Increase 1",15545449684.6212,675706278.662316,14642374034.6863,15172102987.3893,15312285712.4232,16033696069.5816,16688975697.1445
"Value of Manure",137280348.007943,4845638.39269084,128619303.232925,134338001.234009,137540145.464116,140198300.059923,145512357.929203
"Value of Hides",74644641.593233,582170.545811546,73641355.5579853,74277310.4173807,74686636.0915962,74946246.2988933,75574706.6837208
"Value of Milk",0,0,0,0,0,0,0
"Total Value Increase 2",15757374674.2224,674950370.51095,14862128567.5076,15382837258.5621,15524684358.6919,16240279497.519,16901411316.3158
"Feed Cost",0,0,0,0,0,0,0
"Labour Cost",1384125989.66549,34196710.1912617,1339690099.52875,1352427737.94662,1392003372.40067,1410864819.92841,1430104778.91136
"Health Cost",0,0,0,0,0,0,0
"Capital Cost",0,0,0,0,0,0,0
"Total Expenditure",1384125989.66549,34196710.1912617,1339690099.52875,1352427737.94662,1392003372.40067,1410864819.92841,1430104778.91136
"Gross Margin",14373248684.5569,678343250.202056,13469124293.1725,13991477846.8277,14148145275.0106,14886419799.3832,15471306537.4044
