"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1835051.88394007,10316.8472579751,1810543.48989062,1830929.46914022,1838058.93926216,1841620.11767826,1846955.51287786
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",34279.5064578593,730.832376432959,33047.8636218354,33804.7792769248,34242.4766757383,34710.1562602059,35423.5117149593
"Num Offtake","Juvenile Male",153305.588046367,3789.70378776833,143807.026313604,152828.088503926,154465.346031116,155412.754243769,156961.18985643
"Num Offtake","Juvenile Combined",187585.094504227,4271.4639462278,176854.88993544,187068.748699073,189334.448250834,190155.76304058,190858.560435619
"Num Offtake","Adult Female",207386.23987305,475.557479412036,206637.51199147,207036.754907815,207372.406619841,207658.464813377,208096.733962385
"Num Offtake","Adult Male",1440080.54956279,5931.78838880115,1427051.08796371,1437733.08276293,1441035.87176122,1443809.65328383,1448637.66675517
"Cml Pop Growth","Overall",4762803.85043761,373342.358735763,3992196.51921964,4579541.4157366,4969646.83779289,5027929.10222882,5086726.46041285
"Cml Pop Growth","Neonatal Female",159709.721033969,102427.946354588,-44783.7374604871,95495.5189395017,179684.568484732,242409.45860398,266060.204025494
"Cml Pop Growth","Neonatal Male",633382.381766817,172324.429084906,414832.763469194,465897.439260487,636371.801736592,784763.908626581,858408.547553758
"Cml Pop Growth","Neonatal Combined",793092.102800786,231305.511038602,392102.911378627,619806.938759489,868718.821897207,948942.992012118,1085156.82893719
"Cml Pop Growth","Juvenile Female",314154.293894014,57419.848395392,225821.031791236,282547.715918609,297825.791754577,344695.447180247,416559.193205837
"Cml Pop Growth","Juvenile Male",563676.1845098,82349.0817131095,403488.095866363,515068.00552626,569711.725582828,616513.287504238,690297.684263899
"Cml Pop Growth","Juvenile Combined",877830.478403814,113990.719684707,629309.127657599,833158.520397234,893664.701074992,961917.269081386,1013697.36060301
"Cml Pop Growth","Adult Female",2038330.22490796,62367.9231440118,1933652.78088017,1997418.2899944,2037168.66305337,2071962.37047323,2132493.92328133
"Cml Pop Growth","Adult Male",1053551.04432505,48281.7447933028,931196.561945279,1049411.00672219,1069633.29097373,1082510.55441885,1092976.40487906
"Total Number Increase","Overall",6597855.73437768,381298.407303189,5802740.00911026,6413311.44326658,6807705.77705505,6862800.6663542,6929540.01996844
"Total Number Increase","Neonatal Female",159709.721033969,102427.946354588,-44783.7374604871,95495.5189395017,179684.568484732,242409.45860398,266060.204025494
"Total Number Increase","Neonatal Male",633382.381766817,172324.429084906,414832.763469194,465897.439260487,636371.801736592,784763.908626581,858408.547553758
"Total Number Increase","Juvenile Female",348433.800351873,58067.5709593127,258868.895413071,316425.311401346,332068.268430316,379602.077295484,451982.704920797
"Total Number Increase","Juvenile Male",716981.772556167,85561.2972820561,547295.122179967,666087.108302169,724747.214480893,770663.945660916,847258.87412033
"Total Number Increase","Adult Female",2245716.46478101,62837.7773322668,2140290.29287164,2204481.14498979,2244580.42471866,2279601.15776388,2340520.56192391
"Total Number Increase","Adult Male",2493631.59388784,53634.9621612832,2358247.64990899,2485889.9098187,2511991.1801332,2526643.91502483,2534670.32271362
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Liveweight (kg)","Overall",6275388034.07577,67850074.774661,6176652035.64057,6220027181.77304,6282411807.87268,6331674874.10908,6369900254.59998
"Liveweight (kg)","Neonatal Female",260145540.223099,17160218.4894533,230376849.783587,252537401.322803,257777765.48724,271416764.484542,284925452.211438
"Liveweight (kg)","Neonatal Male",216579513.830835,12659768.85225,191251588.169976,213777639.395036,219831411.176648,223071775.205074,230909094.441774
"Liveweight (kg)","Juvenile Female",392983065.546178,9528241.35930762,377904730.891635,389174551.175465,391761956.670431,398528904.654447,408760494.754877
"Liveweight (kg)","Juvenile Male",292560494.211292,7584245.52528906,275936173.763134,292224879.289861,294399865.700095,296828151.854688,300806516.281258
"Liveweight (kg)","Juvenile Combined",685543559.75747,15687846.6462632,653840904.654769,683203678.293512,687491441.639684,696888201.007372,702635107.984331
"Liveweight (kg)","Adult Female",3689603370.30089,30236603.5314422,3631355500.74522,3677917508.86382,3691837861.31518,3708868390.5038,3735684079.89013
"Liveweight (kg)","Adult Male",1423516049.96348,67716185.1744933,1335849437.71295,1375133945.3031,1429745736.81343,1455544022.43152,1552100905.72919
"Meat (kg)","Overall",241094715.29812,14606141.1336657,223050970.235614,228428858.653829,239352489.695663,250592104.172052,266457255.667415
