"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Small holder","Adult","External",8133971.61887862,8196421.71349716,29043365.9001596,6396328.3228649,9996515.10412942
"Mortality","Small holder","Adult","Infectious",22945079.6000685,21430344.0244988,76752195.1457609,16673281.0975175,26187406.9514801
"Mortality","Small holder","Adult","Non-infectious",8035925.18222366,8057520.05593015,28604069.3846981,6284654.04509706,9830386.06676324
"Mortality","Small holder","Chick","External",-8215868.77903677,-8246722.04665517,29570478.9561996,-10079485.6426471,-6413958.45066326
"Mortality","Small holder","Chick","Infectious",-18187596.8470922,-18807466.332433,64470197.8767184,-22803297.1700012,-14811635.4948648
"Mortality","Small holder","Chick","Non-infectious",-7587124.37604808,-7366663.73097907,26050062.2275474,-8981233.64696493,-5752093.81499321
"Mortality","Small holder","Juvenile","External",-2060190.76228421,-2128548.7600778,23418253.2807295,-3580000.46494242,-677097.055213189
"Mortality","Small holder","Juvenile","Infectious",-5581800.69565834,-5921207.45274404,63357123.063987,-9848050.46636083,-1994364.43912724
"Mortality","Small holder","Juvenile","Non-infectious",-2939982.37198902,-3164855.29753318,32387261.5361686,-5172201.67853977,-1157508.9165266
"Mortality","Village","Adult","External",1931660401.6661,1953153791.33346,1118140441.93888,1883852002.2002,2022455580.46671
"Mortality","Village","Adult","Infectious",5734612263.81853,5799647417.847,3210179238.67711,5600682103.35307,5998612732.34093
"Mortality","Village","Adult","Non-infectious",2173953093.3838,2268033792.30855,1329631684.06666,2185623881.05062,2350443703.56648
"Mortality","Village","Chick","External",3532193556.37158,3611145270.00999,1812271368.23328,3498821590.88811,3723468949.13187
"Mortality","Village","Chick","Infectious",5911687545.41776,6016340260.82925,2976775775.23359,5831841177.05182,6200839344.60669
"Mortality","Village","Chick","Non-infectious",1639749985.46859,1691968424.65442,892613914.005397,1636644657.68777,1747292191.62107
"Mortality","Village","Juvenile","External",426981049.952203,455661562.352754,841198816.565638,403524477.583969,507798647.12154
"Mortality","Village","Juvenile","Infectious",1170778691.27766,1250653034.14214,2268656524.13578,1110042829.77567,1391263238.50861
"Mortality","Village","Juvenile","Non-infectious",600103972.465631,623785449.75739,1134797634.14294,553451256.126114,694119643.388666
"Production loss","Small holder","Adult","External",17672854.5480776,18132324.89015,30144482.8028096,16263984.8208929,20000664.9594072
"Production loss","Small holder","Adult","Infectious",51953303.2668313,54253407.0860582,87550397.4547196,48827076.9441857,59679737.2279307
"Production loss","Small holder","Adult","Non-infectious",40247905.8774825,43750972.545959,70858532.7863838,39359195.8842199,48142749.207698
"Production loss","Small holder","Chick","External",-1263942.01587349,-1294097.08508842,39676025.3642532,-3753197.42732381,1165003.25714697
"Production loss","Small holder","Chick","Infectious",-2100708.36869719,-2663043.0489775,70135041.7639629,-7009978.09655521,1683891.99860022
"Production loss","Small holder","Chick","Non-infectious",-1827751.65843019,-1915311.32864915,60883494.5071861,-5688840.07313875,1858217.41584045
"Production loss","Small holder","Juvenile","External",-2724186.65970689,-2446461.19365358,32852889.5886051,-4482666.97004035,-410255.417266811
"Production loss","Small holder","Juvenile","Infectious",-6079993.89767613,-5802839.03642491,68943908.1567744,-10075948.214748,-1529729.85810184
"Production loss","Small holder","Juvenile","Non-infectious",-5865810.59229482,-5688363.38551418,65617743.5385441,-9755318.53313662,-1621408.23789174
"Production loss","Village","Adult","External",3073095012.24563,3166735117.80457,1680763076.52423,3062562257.2735,3270907978.33563
"Production loss","Village","Adult","Infectious",10625322549.6011,10814108372.1935,5402190896.6553,10479283264.0627,11148933480.3242
"Production loss","Village","Adult","Non-infectious",8318712096.91618,8473629180.05139,4318105072.02748,8205995172.79022,8741263187.31257
"Production loss","Village","Chick","External",362912340.383087,343105277.871824,1925134744.99695,223786382.725222,462424173.018427
"Production loss","Village","Chick","Infectious",578902721.668948,606625779.348296,3194188794.26906,408651544.65521,804600014.041382
"Production loss","Village","Chick","Non-infectious",520179679.221545,489604384.103478,2719565048.38866,321047093.401438,658161674.805519
"Production loss","Village","juvenile","External",NA,NA,NA,NA,NA
"Production loss","Village","juvenile","Infectious",NA,NA,NA,NA,NA
"Production loss","Village","juvenile","Non-infectious",NA,NA,NA,NA,NA
