"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Crop livestock mixed","Adult female","External",2260870039.63421,2357970050.63584,1388406699.79316,2271917293.10082,2444022808.17086
"Mortality","Crop livestock mixed","Adult female","Infectious",4708965083.76137,4732179700.10668,2707463114.73629,4564372481.24055,4899986918.97282
"Mortality","Crop livestock mixed","Adult female","Non-infectious",3010549766.25913,3085362912.20776,1779586147.84454,2975065046.80856,3195660777.60697
"Mortality","Crop livestock mixed","Adult male","External",373017261.749116,404132527.339601,1418174747.30152,316234761.007875,492030293.671327
"Mortality","Crop livestock mixed","Adult male","Infectious",731231680.637004,766186102.5975,2657139355.78518,601497925.31184,930874279.88316
"Mortality","Crop livestock mixed","Adult male","Non-infectious",440927428.295661,451553750.337515,1595080407.13212,352691459.090832,550416041.584197
"Mortality","Crop livestock mixed","Juvenile","External",1153930673.56253,1151862813.41977,1315032635.15094,1070357743.96127,1233367882.87826
"Mortality","Crop livestock mixed","Juvenile","Infectious",2477302339.98248,2444440838.20782,2781626301.16363,2272037021.88892,2616844654.52671
"Mortality","Crop livestock mixed","Juvenile","Non-infectious",1404367261.39858,1413989379.18178,1608110337.76015,1314319499.30764,1513659259.05591
"Mortality","Crop livestock mixed","Neonate","External",1775548534.65553,1799392259.79958,1209936363.85065,1724401005.02765,1874383514.57151
"Mortality","Crop livestock mixed","Neonate","Infectious",4788944028.63661,4727788654.33671,3050337254.57601,4538730266.61274,4916847042.06069
"Mortality","Crop livestock mixed","Neonate","Non-infectious",2299942113.98276,2330224404.41259,1541402088.56962,2234689068.68465,2425759740.14052
"Mortality","Pastoral","Adult female","External",1686521311.18063,1732139396.36465,1111457370.50455,1663251820.67894,1801026972.05035
"Mortality","Pastoral","Adult female","Infectious",2749340474.48189,2812838509.04376,1789207454.58594,2701944319.83229,2923732698.25522
"Mortality","Pastoral","Adult female","Non-infectious",1819549858.78345,1845667033.12868,1180000962.53994,1772531159.659,1918802906.59837
"Mortality","Pastoral","Adult male","External",779936763.232908,757002999.698878,1215731507.4526,681652564.805352,832353434.592404
"Mortality","Pastoral","Adult male","Infectious",1095392482.40273,1024730772.75698,1653181195.81384,922267423.490506,1127194122.02345
"Mortality","Pastoral","Adult male","Non-infectious",695608569.987075,686647729.729708,1103965318.46684,618224507.707481,755070951.751935
"Mortality","Pastoral","Juvenile","External",945580283.881903,958909130.458404,1029012121.16959,895131470.370195,1022686790.54661
"Mortality","Pastoral","Juvenile","Infectious",1876260828.1145,1857401150.69984,1977525393.30241,1734835109.19735,1979967192.20234
"Mortality","Pastoral","Juvenile","Non-infectious",896455744.588078,912746649.95824,982572662.491329,851847284.449201,973646015.467279
"Mortality","Pastoral","Neonate","External",1747565238.54451,1797516611.19361,1133855286.67483,1727240823.79028,1867792398.59695
"Mortality","Pastoral","Neonate","Infectious",3224664333.68527,3283929589.62468,2001701532.62293,3159865123.01707,3407994056.23229
"Mortality","Pastoral","Neonate","Non-infectious",1530360485.56548,1560731058.326,967609916.226217,1500759076.39744,1620703040.25456
"Production loss","Crop livestock mixed","Adult female","External",23238801633.3719,23505756277.3406,4565677460.13192,23222777856.4511,23788734698.2301
"Production loss","Crop livestock mixed","Adult female","Infectious",52400060274.8374,52439817045.7315,8346542129.00983,51922502510.8833,52957131580.5796
"Production loss","Crop livestock mixed","Adult female","Non-infectious",36743511505.4363,36763930380.4631,6283977026.30871,36374452606.0608,37153408154.8653
"Production loss","Crop livestock mixed","Adult male","External",874228750.121047,946517270.125508,1824282378.53833,833449154.551628,1059585385.69939
"Production loss","Crop livestock mixed","Adult male","Infectious",1838186787.42691,2013010470.16039,3818584292.81223,1776336512.64827,2249684427.67252
"Production loss","Crop livestock mixed","Adult male","Non-infectious",1292463932.57405,1368746205.46537,2649112950.56259,1204555500.78813,1532936910.14261
"Production loss","Crop livestock mixed","Juvenile","External",612036341.838573,626817339.672439,2401542959.13394,477970900.078717,775663779.26616
"Production loss","Crop livestock mixed","Juvenile","Infectious",1469847246.90498,1490886374.11695,5600445246.87139,1143773559.84649,1837999188.38741
"Production loss","Crop livestock mixed","Juvenile","Non-infectious",882897254.129519,929120490.797438,3460641774.11682,714631632.779113,1143609348.81576
"Production loss","Crop livestock mixed","Neonate","External",-182661034.671831,-191282332.343237,2566847010.67288,-350374234.933324,-32190429.7531502
"Production loss","Crop livestock mixed","Neonate","Infectious",-393414997.335626,-437115477.864124,5741655984.68668,-792980463.51518,-81250492.2130685
"Production loss","Crop livestock mixed","Neonate","Non-infectious",-242144923.71614,-260715460.956911,3319275835.64183,-466442528.334849,-54988393.5789729
"Production loss","Pastoral","Adult female","External",13472813047.2953,13527794991.5518,2488979268.97457,13373529292.9098,13682060690.1937
"Production loss","Pastoral","Adult female","Infectious",21872337701.731,21971457587.4397,3436706601.65281,21758452219.5204,22184462955.3589
"Production loss","Pastoral","Adult female","Non-infectious",14045817937.6705,14043057876.412,2578436639.2518,13883247654.4,14202868098.4241
"Production loss","Pastoral","Adult male","External",864857979.640543,901086687.425015,1722161970.27104,794347944.025232,1007825430.8248
"Production loss","Pastoral","Adult male","Infectious",1256322977.58759,1266489579.30591,2454571004.22507,1114356487.82015,1418622670.79166
"Production loss","Pastoral","Adult male","Non-infectious",865107493.190608,857457857.194739,1686761559.42577,752913213.6733,962002500.716178
"Production loss","Pastoral","Juvenile","External",312753401.506136,282077163.661276,2011827549.15638,157385091.579218,406769235.743335
"Production loss","Pastoral","Juvenile","Infectious",551890185.8483,514738150.319327,3618896327.95357,290440753.670243,739035546.968412
"Production loss","Pastoral","Juvenile","Non-infectious",309419196.896374,297709824.524062,2111829972.20712,166819651.939476,428599997.108647
"Production loss","Pastoral","Neonate","External",419587799.375429,443207292.281362,1948930745.54684,322413532.841806,564001051.720918
"Production loss","Pastoral","Neonate","Infectious",889854203.778496,887829870.221819,3898221177.73268,646220058.143504,1129439682.30013
"Production loss","Pastoral","Neonate","Non-infectious",441362208.514561,462926352.639503,2001410632.21165,338879915.894872,586972789.384134
